id	source	symbols	role	current_landing	owner_step	review_status	next_action
C12M12-SRC-001	src/Mod/PartDesign/App/FeaturePipe.cpp	Pipe::execute	PartDesign AdditivePipe/SubtractivePipe profile spine sections cap sewing Body add-cut authority	cad-core/src/part_design/feature_pipe.cpp	S1	reviewed	S1 reviewed getSectionShape profile/section handling, buildPipePath spine, multi-section wire/vertex validation, simulate cap/sewing and Body add/cut/refine flow; use for S2 drift audit.
C12M12-SRC-002	src/Mod/PartDesign/App/FeaturePipe.cpp	Pipe::setupAlgorithm	PartDesign Pipe mode transition auxiliary binormal support and law authority	cad-core/src/part/topo_shape_expansion.cpp::configurePipeShellMode;cad-core/src/part_design/feature_pipe.cpp	S1	reviewed	S1 reviewed tolerance before transition, Fixed Ax2, Frenet bool, Auxiliary SetMode(aux wire, curvilinear), Binormal dir, and execute-time scaling law Add/SetLaw split; audit configurePipeShellMode in S2.
C12M12-SRC-003	src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementPipeShell	Shared Part Sweep PipeShell builder and history authority	cad-core/src/part/topo_shape_expansion.cpp::makeElementPipeShellFromSources	S1	reviewed	S1 reviewed prepareProfiles, spine wire creation, SetMode(isFrenet), SetTransitionMode, optional tolerance, Add profiles, IsReady, Build, MakeSolid and makeElementShape history; audit shared builder in S2.
C12M12-SRC-004	src/Mod/Part/App/PartFeatures.cpp	Sweep::execute	Part Workbench Sweep wrapper authority	cad-core/src/part/part_sweep.cpp	S1	reviewed	S1 reviewed wrapper section list, spine subshape compound, Solid/Frenet/Transition properties, makeElementPipeShell OpCodes::Sweep and Linearize; route detailed drift to S2/S5.
C12M12-SRC-005	src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp	BRepOffsetAPI_MakePipeShellPy	Advanced helper public API authority	cad-core/src/part/part_sweep.cpp;cad-core/src/part/topo_shape_expansion.cpp	S1	reviewed	S1 reviewed public API: constructor needs wire; frenet/trihedron/binormal/support/auxiliary spine, add with contact/correction/location, status/build/solid/history/tolerance/transition/max degree/segments/forceC1/simulate; feed advanced DTO audit.
C12M12-SRC-006	cad-core/src/part_design/feature_pipe.cpp	PartDesign Pipe executor	Current CAD Core PartDesign landing	cad-core/src/part_design/feature_pipe.cpp	S2	reviewed	S2 audited Profile/Spine/Sections, Mode/Transition/Transformation, Auxiliary/Binormal, Body add-cut and diagnostics; current coverage exists, but user failure still requires S3 before C++ changes.
C12M12-SRC-007	cad-core/src/part/topo_shape_expansion.cpp	makeElementPipeShellFromSources;configurePipeShellMode	Current CAD Core shared builder landing	cad-core/src/part/topo_shape_expansion.cpp	S2	reviewed	S2 audited Standard/Frenet/Auxiliary/Binormal mode setup, tolerance, transition, product profile placement, Simulate/Sewing cap flow, MakeSolid and history; non-FreeCAD/product-contract branches are separated in drift matrix.
C12M12-SRC-008	cad-core/src/part/part_sweep.cpp	Part Sweep executor	Current CAD Core Part Sweep wrapper landing	cad-core/src/part/part_sweep.cpp	S2/S5	reviewed	S2 audited Sections/Spine/Solid/Frenet/Transition, advanced DTO, SectionOptions location/product contract and response history; S5 no-code closeout confirmed wrapper remains distinct from PartDesign Pipe.
C12M12-SRC-009	cad-core/tests/test_p7_features.py	PartDesign Pipe focused tests	Current PartDesign regression surface	cad-core/tests/test_p7_features.py	S3/S4	reviewed	S2 identified reusable controls: c4m2 Standard add/sub, c5m3 multisection/Frenet/diagnostics, c51m4 Fixed/Auxiliary/Binormal/selected-spine and c6m1/c6m3 law/tangent product contracts.
C12M12-SRC-010	cad-core/tests/test_p8_features.py	Part Sweep focused tests	Current Part Workbench regression surface	cad-core/tests/test_p8_features.py	S3/S5	reviewed	S2 identified reusable controls: c3m4 Sweep wrapper basics, c4m1 linearize/deferred diagnostics, c5m10/c5m12 advanced helper DTO and c6m4 product-contract location cases.
