id	source	symbols	role	current_landing	owner_step	review_status	next_action
C12M12-SRC-001	src/Mod/PartDesign/App/FeaturePipe.cpp	Pipe::execute	PartDesign AdditivePipe/SubtractivePipe profile spine sections cap sewing Body add-cut authority	cad-core/src/part_design/feature_pipe.cpp	S1	pending	Review profile object links, spine path, section list, solid/cap/sewing and Body feature flow; then feed S2 drift audit.
C12M12-SRC-002	src/Mod/PartDesign/App/FeaturePipe.cpp	Pipe::setupAlgorithm	PartDesign Pipe mode transition auxiliary binormal support and law authority	cad-core/src/part/topo_shape_expansion.cpp::configurePipeShellMode;cad-core/src/part_design/feature_pipe.cpp	S1	pending	Record exact SetMode and SetTransitionMode order; verify Standard is not treated as Frenet unless source says so.
C12M12-SRC-003	src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementPipeShell	Shared Part Sweep PipeShell builder and history authority	cad-core/src/part/topo_shape_expansion.cpp::makeElementPipeShellFromSources	S1	pending	Review Add/SetLaw/Build/MakeSolid/Simulate/sewing/history order and map to shared builder.
C12M12-SRC-004	src/Mod/Part/App/PartFeatures.cpp	Sweep::execute	Part Workbench Sweep wrapper authority	cad-core/src/part/part_sweep.cpp	S1	pending	Review sections, solid, frenet, transition and makeElementPipeShell wrapper semantics before S5.
C12M12-SRC-005	src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp	BRepOffsetAPI_MakePipeShellPy	Advanced helper public API authority	cad-core/src/part/part_sweep.cpp;cad-core/src/part/topo_shape_expansion.cpp	S1	pending	Review helper methods for auxiliary spine, binormal, spine support, tolerance, transition, max degree/segments and simulate.
C12M12-SRC-006	cad-core/src/part_design/feature_pipe.cpp	PartDesign Pipe executor	Current CAD Core PartDesign landing	cad-core/src/part_design/feature_pipe.cpp	S2	pending	Audit against S1 source; classify non-FreeCAD behavior and missing properties.
C12M12-SRC-007	cad-core/src/part/topo_shape_expansion.cpp	makeElementPipeShellFromSources;configurePipeShellMode	Current CAD Core shared builder landing	cad-core/src/part/topo_shape_expansion.cpp	S2	pending	Audit mode setup, profile placement, solid/sewing and history against FreeCAD source.
C12M12-SRC-008	cad-core/src/part/part_sweep.cpp	Part Sweep executor	Current CAD Core Part Sweep wrapper landing	cad-core/src/part/part_sweep.cpp	S2/S5	pending	Audit wrapper DTO and response history; keep distinct from PartDesign Pipe.
C12M12-SRC-009	cad-core/tests/test_p7_features.py	PartDesign Pipe focused tests	Current PartDesign regression surface	cad-core/tests/test_p7_features.py	S3/S4	pending	Identify tests to reuse or extend for user failure and FreeCAD mode/cap/sewing red cases.
C12M12-SRC-010	cad-core/tests/test_p8_features.py	Part Sweep focused tests	Current Part Workbench regression surface	cad-core/tests/test_p8_features.py	S3/S5	pending	Identify tests to reuse or extend for Part Sweep wrapper and advanced helper response.
