oracle_id	scope_id	representative	planned_fixture_or_probe	freecad_authority	expected_evidence	required_action	next_step
C7M7-ORACLE-000	C7M7-SCOPE-000	Baseline queue and P8 Link/import closure	C7-M1..M6 queue checks plus P8 live document and p8 fixture/test review	CADCore7 README;P8 live doc;p8 fixtures	P8 Link/import already-covered / expected-backed / remaining / diagnostic rows recorded	S0 frozen without oracle collection; no fixture/expected/test/C++ edits	done
C7M7-ORACLE-101	C7M7-SCOPE-101	Request-local Link display and alias baseline	Existing p8 Link / LinkSub / LinkGroup / LinkElement fixtures	App::LinkBaseExtension;DocumentObject::getSubObject	Link shape, alias retag, terminal / merge history, FullSubList, mapped postfix, cross-document alias updates and request-local update suggestions are already_covered	S2 keeps baseline closed; focused tests remain test_p8_app_link_* display / alias / ShowElement request-local cases	done
C7M7-ORACLE-201	C7M7-SCOPE-201	BREP / STEP / IGES history_partial import ElementMap	Existing part-import-brep.json;part-import-step.json;part-import-iges.json;app-link-imported-element-map-chain.json	FeaturePartImportBrep::execute;FeaturePartImportStep::execute;FeaturePartImportIges::execute;PropertyPartShape::setValue;TopoShapeMapper	Expected fields already checked: named_shapes.<Imported*>.element_map_status=history_partial, element_history_status_contains import_shape_element_map, element_map_contains first Face/Edge/Vertex, imported Link chain aliases and history_consumed:merge; route=already_covered	Do not reopen as active gap; focused tests test_p8_part_import_brep_reads_file_shape, test_p8_part_import_step_reads_file_shape, test_p8_part_import_iges_reads_file_shape, test_p8_app_link_consumes_imported_element_maps_through_link_chain	done
C7M7-ORACLE-202	C7M7-SCOPE-202	Complete BREP / STEP / IGES imported-shape ElementMap and stable reference lifecycle	S3 collector probe based on part-import-brep.json;part-import-step.json;part-import-iges.json;app-link-imported-element-map-chain.json	FeaturePartImportBrep::execute;FeaturePartImportStep::execute;FeaturePartImportIges::execute;PropertyPartShape::setValue;TopoShapeMapper;PropertyXLink::updateElementReference	S5 publication result: no source-backed native expected exists beyond S3 shape-summary payloads; no named_shapes, complete ElementMap, elements[*].sources or stable reference update evidence	Route=oracle_blocked; delete blocker only when native collector/probe exposes full imported Faces/Edges/Vertices ElementMap plus stable reference update evidence; do not update expected from current cad-core output	future_native_oracle_package
C7M7-ORACLE-203	C7M7-SCOPE-203	STL indexed_only imported mesh boundary	mesh-import-stl.json and expected/mesh-import-stl.freecad.json	Mesh::Import::execute;cad-core/src/mesh/feature_mesh_import.cpp	Expected fields already checked: mesh_summary vertex_count / triangle_count, bbox / topology_counts, named_shapes.ImportedStl.element_map_status=indexed_only; no Part PropertyPartShape ElementMap authority exists for STL route=oracle_blocker	S3 kept STL complete Part ElementMap blocked; reopen only with a mesh-specific oracle package that proves native Mesh::Import should publish Part-style ElementMap evidence	done
C7M7-ORACLE-301	C7M7-SCOPE-301	ShowElement request-local documentObjectUpdates	app-link-show-element-synthetic.json;app-link-show-element-materialized.json;app-link-show-element-inherited-child.json;app-link-show-element-stale-child-lifecycle.json;app-link-show-element-toggle-off-sync.json;app-link-show-element-element-list-owner-sync.json;app-link-show-element-element-list-child-sync.json	LinkBaseExtension::update;CadCoreP8FeatureTest.assert_document_updates_apply_to_stable_graph	Expected fields already covered: documentObjectUpdates action/reason/object/properties, ElementList/PlacementList/ScaleList/VisibilityList/_LinkOwner/LinkedObject/LinkTransform and apply-stable no further updates; route=already_covered_request_local	Do not call this backend persistence; focused tests test_p8_app_link_show_element_* and test_p8_app_link_show_element_toggle_off_preserves_child_lists stay closed	done
C7M7-ORACLE-302	C7M7-SCOPE-302	ShowElement LinkElement / LinkGroup persistent writeback transaction	S3 native transaction probe using all app-link-show-element*.json fixtures	LinkBaseExtension::update;App::LinkElement;App::LinkGroup	S5 publication result: no source-backed native expected exists beyond S3 read-only ElementList failures and shape/object_fields-only payloads; no owner ElementList, ElementCount, child _LinkOwner, LinkedObject, LinkTransform or transaction lifecycle fields	Route=oracle_blocked; delete blocker only when a native transaction probe captures persistent owner/child graph writeback after recompute/save/restore; request-local documentObjectUpdates remains already-covered not backend persistence	future_native_oracle_package
C7M7-ORACLE-401	C7M7-SCOPE-401	Object / label / numeric / FullSubList / mapped postfix coverage	app-link-element-list-nested-label-sublist.json;app-link-multilevel-label-qualified-sublist.json;app-link-full-sublist-external-tag.json plus existing c3m2 xlink rename fixtures	DocumentObject::getSubObject;LinkBaseExtension::extensionGetSubObject;PropertyXLink::updateElementReference	Expected fields already covered: element_map object/label/numeric aliases, FullSubList, ;:X; mapped postfix, documentReference update, labelReferenceRename, elementReferenceUpdates and missing external diagnostics; route=already_covered	Do not reopen covered request-graph behavior; focused tests test_p8_app_link_preserves_full_sublist_external_mapped_alias, test_p8_app_link_resolves_multilevel_label_qualified_subshape_alias and c3m2 xlink rename tests stay closed	done
C7M7-ORACLE-402	C7M7-SCOPE-402	Complete multi-layer LinkSub and cross-document hash-postfix save/restore lifecycle	S3 source-backed save/restore probe seeded by app-link-multilevel-label-qualified-sublist.json;app-link-element-list-nested-label-sublist.json;app-link-full-sublist-external-tag.json and c3m2 cross-document xlink cases	PropertyXLink::Save;PropertyXLink::Restore;PropertyXLinkContainer.DocMap;PropertyXLink::getSubValues;DocumentObject::getSubObject;LinkBaseExtension::extensionGetSubObject	S5 publication result: no source-backed native expected exists beyond S3 shape/object_fields-only collectors, native Link broken multilevel label fixture, and local LinkedObject tuple/subvalue save/restore probe; no file/stamp/hash, DocMap, restored FullSubList, ReferenceShadow or mapped postfix lifecycle evidence	Route=oracle_blocked with diagnostic boundary for cross-request/session state; delete blocker only when a source-backed FCStd save/restore probe observes persisted XLink hash/postfix lifecycle without relying on GUI or backend cross-request cache	future_native_oracle_package
C7M7-ORACLE-501	C7M7-SCOPE-501	GUI / frontend / worker boundary	No native golden for GUI Link commands, frontend state sync, backend cache or Worker/Web service bridge	P8 live non-goal boundary	diagnostic_non_goal when behavior requires UI/session/product adapter lifecycle; current cad-core output cannot be FreeCAD oracle	S2 keeps out of implementation gate; no S3 collector	done
C7M7-ORACLE-601	C7M7-SCOPE-601	cad-core parity / backend gap gate	S3 expected / blocker result, not current cad-core output	FreeCAD native oracle result from S3	S5 confirmed S4/S5 decision: C7M7-ORACLE-202/302/402 oracle_blocked, C7M7-ORACLE-203 STL oracle_blocker, already-covered rows closed, diagnostic_non_goal rows unchanged, no backend_gap_requires_implementation and no C++ implementation performed	S6 release gate may proceed; build/unittest not required because S5 was docs/matrix-only	S6
