gate_id	scope_id	state	route	current_evidence	decision_rule	next_step
C7M7-GATE-000	C7M7-SCOPE-000	closed	baseline_closed	HEAD=7be2d4e937, C7-M1..M6 queues empty, C7-M7 starts at S0, and P8 Link/import covered / remaining / diagnostic boundaries are frozen	S1 may start source and coverage review	S1
C7M7-GATE-101	C7M7-SCOPE-101	closed	already_covered_source_reviewed	S1 confirmed current source/tests cover request-local Link display, alias, FullSubList, mapped postfix, terminal / merge history, LinkElement/LinkGroup and documentObjectUpdates suggestions; no S1 implementation gate opened	S2 kept baseline closed and selected only new source-backed native oracle rows	done
C7M7-GATE-201	C7M7-SCOPE-201	closed	already_covered	BREP / STEP / IGES import history_partial ElementMap, imported Link chain aliases and known OCCT bbox drift are already expected-backed	S3 must not recollect these rows unless extending to full ElementMap candidate C7M7-SCOPE-202	done
C7M7-GATE-202	C7M7-SCOPE-202	blocked	oracle_blocked	S4 found no source-backed native expected beyond S3 shape-summary payloads for part-import-brep, part-import-step, part-import-iges and app-link-imported-element-map-chain; complete ElementMap and reference-update evidence remain unobservable	Do not infer backend_gap_requires_implementation from blocked collector evidence; reopen only when a native collector/probe exposes full imported ElementMap lifecycle	S5
C7M7-GATE-203	C7M7-SCOPE-203	closed	oracle_blocker	STL import expected is indexed_only and FreeCAD Mesh::Import does not route through PropertyPartShape ElementMap	S3 kept this blocked; reopen only through a separate mesh-specific ElementMap oracle package	done
C7M7-GATE-301	C7M7-SCOPE-301	closed	already_covered	ShowElement documentObjectUpdates are request-local update suggestions and p8 tests prove applying them stabilizes the request graph; this is not backend persistence	Do not reopen already-covered request-local rows as implementation gate	done
C7M7-GATE-302	C7M7-SCOPE-302	blocked	oracle_blocked	S4 found no persistent owner/child graph native expected beyond S3 read-only ElementList failures or shape/object_fields-only ShowElement payloads	Response contract remains request-local documentObjectUpdates until a native transaction probe captures persistent writeback evidence; no C++ implementation gate opens	S5
C7M7-GATE-401	C7M7-SCOPE-401	closed	already_covered	Current tests cover object/label/numeric routes, mapped postfix, FullSubList, documentReference updates and external document diagnostics	Do not reopen already-covered LinkSub request-graph rows	done
C7M7-GATE-402	C7M7-SCOPE-402	blocked	oracle_blocked	S4 found no source-backed save/restore expected beyond S3 probes that lacked file/stamp/hash DocMap restored FullSubList ReferenceShadow or mapped postfix lifecycle; multilevel label fixture remained native Link broken	Keep cross-document/session lifecycle out of implementation gate until source-backed save/restore evidence exists	S5
C7M7-GATE-501	C7M7-SCOPE-501	closed	diagnostic_non_goal	GUI / frontend sync / cross-request cache / Worker adapter boundaries are frozen as non-goal unless upstream scope changes	Keep session/product behavior out of implementation gate	done
C7M7-GATE-601	C7M7-SCOPE-601	closed	oracle_blocked_no_code_publication	S4 closed implementation gate because S3 produced no source-backed native expected: C7M7-SCOPE-202, C7M7-SCOPE-302 and C7M7-SCOPE-402 route=oracle_blocked; C7M7-SCOPE-203 remains STL oracle_blocker; already-covered rows stay closed	S5 may only perform no-code publication closure in docs/work-step/matrix files; no cad-core C++ runtime fixtures expected tests collector adapter or generated-output edits	S5
C7M7-GATE-701	C7M7-SCOPE-000	pending	release_pending	Queue and validation not yet closed	S6 runs release gate and empties queue	S6
