id	source	file	symbol	current_signal	cad_core_landing	owner_step	status	notes
C12M6-SRC-001	historical-docs	docs/FreeCAD几何生态迁移工程-细分/C3M4-PartWorkbenchSurface-RuledProjection收口主线/矩阵/part_surface_blocker_queue.tsv	PARTSURF-BLOCK-005	Old status deferred-S2 because collector path, cad-core input schema and shell/topo provenance checks were not ready	C12-M6 validates whether current support closes this historical blocker	S0	closed_s0	Deferred conditions frozen with PARTSURF-SCOPE-007 and PARTSURF-FIX-005; S1 must compare old docs with current source/test/capability evidence before classification
C12M6-SRC-101	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.h	Part::RuledSurface	Declares Orientation, Curve1, Curve2 and execute/mustExecute	cad-core/include/cad_core/part/part_feature.h	S1	closed_s1	Confirmed source-backed DocumentObject rather than DTO-only helper; FreeCAD source-supported
C12M6-SRC-102	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.cpp	RuledSurface::execute	Reads Curve1 and Curve2 then calls res.makeElementRuledSurface(shapes, Orientation.getValue())	cad-core/src/part/part_ruled_surface.cpp	S1	closed_s1	Executor boundary stays in Part layer; current executor mirrors Curve1/Curve2/Orientation parsing before helper delegation
C12M6-SRC-103	FreeCAD-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementRuledSurface	Accepts edge or wire inputs; edge uses BRepFill::Face and wire uses BRepFill::Shell	cad-core/src/part/topo_shape_expansion.cpp	S1	closed_s1	Core source authority confirms wire/wire is source-supported; current helper has wire_wire_brepfill_shell landing
C12M6-SRC-104	FreeCAD-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	source edge relation comment	Both BRepFill::Face and Shell modify original input edges and require relationship reconstruction	cad-core/src/part/topo_shape_expansion.cpp	S1	closed_s1	Provenance gate cannot be reduced to bbox/topology match; S4 owns strength beyond representative edge evidence
C12M6-SRC-201	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/part/part_ruled_surface.cpp	executePartRuledSurface	Current executor parses Part::RuledSurface properties and delegates to makeElementRuledSurfaceFromCurves	cad-core/src/part/part_ruled_surface.cpp	S3	closed_s3	Confirmed input schema path: document/app parser reads request graph/link-sub, executor resolves context.shapes and rejects no-edge/non-edge/wire inputs; no fixture-name branch, adapter shortcut or compound hack
C12M6-SRC-202	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/part/topo_shape_expansion.cpp	makeElementRuledSurfaceFromCurves	Current landing has BRepFill::Shell wire/wire branch, wire_wire_brepfill_shell status and shared vertex source edge relation events	cad-core/src/part/topo_shape_expansion.cpp	S4	closed_s4	No adapter or fixture-name provenance guess found; source relations are produced before NamedShape serialization
C12M6-SRC-203	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/fixtures/c4m1/part-ruled-surface-wire-wire.json	c4m1 fixture	Uses Part::RegularPolygon wires and Part::RuledSurface Curve1/Curve2 request graph	cad-core/fixtures/c4m1/expected/part-ruled-surface-wire-wire.freecad.json	S2	closed_s2	Fixture and checked-in expected are admitted for S2: FreeCADCmd reference, source-backed collector native type, no forbidden input transport, and focused expected-backed test passed
C12M6-SRC-204	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/tests/test_p8_features.py	test_c4m1_part_ruled_surface_wire_wire_builds_shell_with_provenance	Focused test asserts occt_shell, source curves, representative Lower/Upper Edge1 source edges and wire_wire_brepfill_shell	cad-core/tests/test_p8_features.py	S4	closed_s4	assert_ruled_surface_source_edge is representative smoke; current recompute output shows all 8 fixture source edge mapper_history relations, enough for S4 admission but not full surface family overclaim
C12M6-SRC-205	cad-core-current	/Users/li/Chili3DProject/FreeCAD/cad-core/src/runtime/capability_contract.cpp	part_workbench.ruled_surface	Capability currently publishes supported_wire_wire_expected_backed with remaining_gaps empty	cad-core/tests/test_adapters.py	S5	pending_s5	S5 decides whether this wording is admitted or needs repair
