id	non_goal	reason	revisit_condition	status
PARTSURF-NG-001	完整 Part surface family	Loft, Sweep, Filling, PipeShell, GeomPlate 等各自有独立 state machine 和 history 语义	A later source-backed surface-family mainline scopes one family with oracle	active-locked-S5
PARTSURF-NG-002	一次性实现完整 ProjectOnSurface	ProjectOnSurface 同时包含 projection, filtering, wire repair, face rebuild, solid, offset placement 分支	S4 已选择独立主线；后续只能按 source-backed collector/input/provenance gate 分批	active-locked-S4
PARTSURF-NG-003	GUI / ViewProvider / TaskPanel	cad-core 抽取目标是无状态几何计算，不迁移 GUI 命令和视图交互	前端或 GUI parity 任务明确要求	active
PARTSURF-NG-004	BREP 请求或长期状态	仓库架构只允许 ReferenceShadow.brep 作为旧 subshape snapshot 例外	仅作为临时 oracle artifact，不进入请求/响应模型	active
PARTSURF-NG-005	输出端修剪或 fixture 名特判	会掩盖 BRepFill / ElementMap / projection history 缺口	有 FreeCAD source-backed mapper/history 方案后替换	active
PARTSURF-NG-006	把 PartConicCurveDTO 伪装成 FreeCAD DocumentObject	PARTCONIC 已裁决 conic wrapper 是请求级 producer，不是 Part::Hyperbola/Part::Parabola TypeId	FreeCAD 源码新增真实 Part::Hyperbola/Part::Parabola DocumentObject	active-locked
PARTSURF-NG-007	没有 oracle 的 wire/wire RuledSurface support	Wire shell 分支可能依赖额外 wire construction 与 shell topo mapping	S2 后补齐 source-backed collector、cad-core input schema、shell/topo provenance 三项验收	active-locked
PARTSURF-NG-008	DistanceType / Assembly conic default TODO	这是 P8 DistanceTypeExtended 的产品边界，不属于 Part surface executor	产品决策改变并打开 Assembly distance 主线	active
PARTSURF-NG-009	S2 阶段新增实际 fixture 或 FreeCAD expected	S2 是矩阵和 oracle 路径设计，不采集 expected、不写 fixture 文件；S3 已按实现 goal 新增 required fixtures/expected	S3 实现 goal 明确要求新增 fixture/expected	closed-S3
PARTSURF-NG-010	adapter 特例直接输出 RuledSurface face	绕过 DocumentObject Type=Part::RuledSurface、Curve1/Curve2 link-sub 和 Orientation 语义	S3 通过 Part executor、TopoShapeExpansion 等价 helper 和 topo provenance 验证	active-locked
PARTSURF-NG-011	S5 发布 ProjectOnSurface supported	本主线未实现 Part::ProjectOnSurface executor、collector expected 或 focused tests；S4 只完成源码审计和后续主线拆分，S5 capability 仅标为 source-audited / planned	ProjectOnSurface 独立主线完成 native expected、executor、fixtures、focused tests 和 capability gate 后再晋升	active-locked-S5
PARTSURF-NG-012	ProjectOnSurface 第一批覆盖 face rebuild / holes / solid / offset / 多 projection compound	这些分支经过 projectFace、ShapeFix_Wire、createFaceFromParametricWire、createSolidIfHeight、getOffsetPlacement 和 createCompound，语义超出 edge projection 第一批	后续主线中对应 fixture 和 expected 单独闭环	active-S4
