id	layer	source_file	symbol_or_area	key_evidence	cad_core_landing	scope_link	status	notes
PARTSURF-CAND-001	prior-gap	docs/CADCore3.0/capabilities-gap对照表.md	part_workbench.conic_curves remaining gaps	PARTCONIC explicitly leaves full Part surface family, RuledSurface, ProjectionOnSurface as unsupported	docs/FreeCAD几何生态迁移工程-细分/C3M4-PartWorkbenchSurface-RuledProjection收口主线	PARTSURF-SCOPE-001	closed-S0	S0 confirmed PARTCONIC queue is empty and this mainline starts from the published remaining gap rather than reopening conic edge support
PARTSURF-CAND-002	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.h	Part::RuledSurface	Declares Orientation, Curve1, Curve2 and execute/mustExecute	cad-core/include/cad_core/part/part_feature.h	PARTSURF-SCOPE-002	closed-S1	S1 confirmed source-backed DocumentObject; not a DTO-only helper or adapter special case
PARTSURF-CAND-003	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.cpp	RuledSurface::RuledSurface	OrientationEnums are Automatic, Forward, Reversed; properties live in Ruled Surface group	cad-core/src/part/part_ruled_surface.cpp	PARTSURF-SCOPE-003	closed-S1	Enum contract belongs in Part executor property parsing
PARTSURF-CAND-004	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/PartFeatures.cpp	RuledSurface::execute	Reads Curve1/Curve2 via getTopoShape with ResolveLink/Transform and optional NeedSubElement, then calls makeElementRuledSurface	cad-core/src/part/part_ruled_surface.cpp	PARTSURF-SCOPE-003	closed-S1	Executor must stay in Part layer and use normal document/link/subshape acquisition
PARTSURF-CAND-005	FreeCAD-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	TopoShape::makeElementRuledSurface input normalization	Requires exactly two shapes; accepts edge/wire; extracts single wire or single edge; otherwise tries makeElementWires	cad-core/src/part/topo_shape_expansion.*	PARTSURF-SCOPE-004	closed-S1	Source branch confirmed; S3 default remains edge/edge until S2 proves wire/wire oracle and input model
PARTSURF-CAND-006	FreeCAD-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	Automatic orientation	Samples curve endpoints near first/last parameter and flips S2 when triangle normal dot product is negative	cad-core/src/part/topo_shape_expansion.*	PARTSURF-SCOPE-005	closed-S3	S3 implements endpoint sampling / normal-dot flip for edge/edge; wire/wire remains future work
PARTSURF-CAND-007	FreeCAD-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	BRepFill::Face / BRepFill::Shell	Edge inputs call BRepFill::Face; wire inputs call BRepFill::Shell	cad-core/src/part/topo_shape_expansion.*	PARTSURF-SCOPE-004	closed-S3	Edge/edge BRepFill::Face implemented; BRepFill::Shell wire/wire remains S2-deferred
PARTSURF-CAND-008	FreeCAD-Topo	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/TopoShapeExpansion.cpp	ElementMap recovery	Because BRepFill modifies input edges, FreeCAD searches output subshapes with shared vertices, resets element maps, then makeShapeWithElementMap	cad-core/src/topo and cad-core/src/part/topo_shape_expansion.*	PARTSURF-SCOPE-006	closed-S3	S3 records shared-vertex source edge relations in named_shape element_map/history for output edges
PARTSURF-CAND-009	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/FeatureProjectOnSurface.h	Part::ProjectOnSurface properties	Declares Mode, Height, Offset, Direction, SupportFace, Projection and private projection helpers	cad-core/src/part/part_project_on_surface.cpp	PARTSURF-SCOPE-008	source-audited-S4	Source-backed but wider than RuledSurface; forbidden in S3 and split to follow-up mainline
PARTSURF-CAND-010	FreeCAD-Part	/Users/li/Chili3DProject/FreeCAD/src/Mod/Part/App/FeatureProjectOnSurface.cpp	ProjectOnSurface::tryExecute	Gets support face, projection shapes, direction, calls createProjectedWire per shape, filterShapes, compound, restores Placement	cad-core/src/part/part_project_on_surface.cpp	PARTSURF-SCOPE-008	source-audited-S4	Follow-up executor must preserve this order and explicitly reject unsupported branches
