id	phase	family	priority	source_authority	key_freecad_semantics	cad_core_landing	next_owner
C5-SRC-001	C5-M1	PartDesign Revolution / Groove	C5-P0	src/Mod/PartDesign/App/FeatureRevolution.cpp;FeatureGroove.cpp;FeatureRevolved.cpp;FeatureSketchBased.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	TwoAngles;ThroughAll;UpToFirst/UpToLast/UpToFace;ReferenceAxis;Profile subshape;FuseOrder=FeatureFirst;Body Tip replay;makeElementRevolution	cad-core/src/part_design/feature_revolution.*;cad-core/src/part_design/feature_groove.*;cad-core/src/part_design/feature_revolved.*;cad-core/src/part/topo_shape_expansion.cpp	C5-M1
C5-SRC-002	C5-M2	PartDesign Boolean / Body ownership	C5-P0	src/Mod/PartDesign/App/FeatureBoolean.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	Type=Fuse/Cut/Common;Group tools;BaseFeature;AllowCompound;multi-solid diagnostics;Body Group / Tip / BaseFeature reroute;boolean maker history	cad-core/src/part_design/feature_boolean.*;cad-core/src/part_design/body.*;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_expansion.cpp	C5-M2
C5-SRC-003	C5-M3	PartDesign Loft advanced	C5-P1	src/Mod/PartDesign/App/FeatureLoft.cpp;FeatureSketchBased.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	Sections XLinkSubList;Closed;multi-section;multi-wire ordering;BRepBuilderAPI_Sewing;MapperSewing;AllowCompound;AddSubShape	cad-core/src/part_design/feature_loft.*;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part/topo_shape.cpp	C5-M3
C5-SRC-004	C5-M3	PartDesign Pipe advanced	C5-P1	src/Mod/PartDesign/App/FeaturePipe.cpp;FeatureSketchBased.cpp;Body.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	Sections;AuxiliarySpine;AuxiliaryCurvilinear;Binormal;Mode;Transformation;Transition;SpineTangent;PipeShell;BRepBuilderAPI_Sewing;MapperSewing	cad-core/src/part_design/feature_pipe.*;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/part/topo_shape.cpp	C5-M3
C5-SRC-005	C5-M4	Datum Attachment / AttachEngine	C5-P2	src/Mod/PartDesign/App/DatumPoint.cpp;DatumLine.cpp;DatumPlane.cpp;DatumCS.cpp;src/Mod/Part/App/AttachExtension.cpp;Attacher.cpp;Attacher.h;src/App/PropertyLinks.cpp	AttachmentSupport;MapMode;AttacherEngine;AttachEngine3D/Plane/Line/Point;calculateAttachedPlacement;readLinks;verifyReferencesAreSafe;downstream reference stability	cad-core/src/part_design/datum_*;cad-core/src/app;cad-core/src/runtime/recompute.cpp;cad-core/src/part/topo_shape.cpp	C5-M4
C5-SRC-006	C5-M6	Part Workbench Surface Profile / PostProcess	C5-P1	src/Mod/Part/App/PartFeatures.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp	Part::Loft face/vertex profile;Part::Sweep multi-profile Sections;Linearize=true post-processing;remaining complex profile routes to future_loft_complex_profile_family while advanced PipeShell field contract is owned and closed by C5-M10	cad-core/src/part/part_loft.cpp;cad-core/src/part/part_sweep.cpp;cad-core/src/part/topo_shape_expansion.cpp;cad-core/src/adapters/c_api/c_api.cpp	C5-M6
C5-SRC-007	C5-M7	Part Workbench GeomPlateSurface Helper 第二批	C5-P0	src/Mod/Part/App/GeomPlate/BuildPlateSurfacePyImp.cpp;src/Mod/Part/App/GeomPlate/CurveConstraintPyImp.cpp;src/Mod/Part/App/GeomPlate/PointConstraintPyImp.cpp;src/Mod/Part/App/PlateSurfacePyImp.cpp;src/Mod/Part/App/Tools.cpp	Part.GeomPlate.BuildPlateSurface;InitialSurface/Surface;G1 curve-on-surface;Curve2dOnSurface;ProjectedCurve2d;Point2dOnSurface;custom criteria;PlateSurface.Curves wrapper boundary	cad-core/include/cad_core/part/part_geomplate.h;cad-core/src/part/part_geomplate.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-M7
C5-SRC-008	C5-M8	Part Workbench Filling Support / Order / Param 第二批	C5-P0	src/Mod/Part/App/AppPartPy.cpp;src/Mod/Part/App/TopoShapeExpansion.cpp;src/Mod/Part/App/BRepOffsetAPI_MakeFillingPyImp.cpp	Part.makeFilledFace;Surface/Supports/Orders;non-default BRepOffsetAPI_MakeFilling params;non-boundary constraints;compound optional;direct MakeFilling wrapper boundary	cad-core/src/part/part_filling.cpp;cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-M8
C5-SRC-009	C5-M9	Part Workbench ProjectOnSurface Provenance 第二批	C5-P0	src/Mod/Part/App/FeatureProjectOnSurface.h;src/Mod/Part/App/FeatureProjectOnSurface.cpp;src/Mod/Part/App/TopoShapeMapper.cpp;src/Mod/Part/App/PropertyTopoShape.cpp	ProjectOnSurface projected edge/wire/face provenance;Mode Edges/Faces/All mapper history;face rebuild and hole wire ownership;compound output ownership;ElementMap/reference recovery evidence	cad-core/src/part/part_project_on_surface.cpp;cad-core/src/part/topo_shape.cpp;cad-core/src/part/topo_shape_mapper.cpp;cad-core/include/cad_core/part/topo_shape_mapper.h;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp	C5-M9
C5-SRC-010	C5-M10	Part Workbench Sweep Advanced PipeShell Contract	C5-P0	src/Mod/Part/App/PartFeatures.cpp;src/Mod/Part/App/BRepOffsetAPI_MakePipeShell.pyi;src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp;src/Mod/PartDesign/App/FeaturePipe.cpp	Part::Sweep base boundary;BRepOffsetAPI_MakePipeShell wrapper setAuxiliarySpine/setSpineSupport/add(Profile,Location,WithContact,WithCorrection)/setTolerance(tol3d,boundTol,tolAngular);PartDesign Pipe setupAlgorithm Mode Auxiliary/Binormal;Binormal canonical with BiNormal alias only;request-local advanced DTO not native Part::Sweep property	cad-core/src/part/part_sweep.cpp;cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp;cad-core/tools/collect_freecad_expected.py;cad-core/tests/test_p8_features.py;cad-core/src/adapters/c_api/c_api.cpp;docs/CADCore5.0-PartDesign-高价值剩余语义/C5-M10-PartWorkbenchSweepAdvancedPipeShellContract主线/矩阵/c5m10_sweep_advanced_pipeshell_source_dto_oracle_contract.tsv	C5-M10
