fixture_id	fixture	expected_file	contract_surface	required_downstream_signal	c8m5_note	owner_step
C8M6-FIX-101	shape-binder-whole-box-cross-body	cad-core/fixtures/c8m1/expected/shape-binder-whole-box-cross-body.freecad.json	ShapeBinder whole object cross-body support	Downstream preserves request-local binder output subshapes full subnames and reference target evidence	S4 reviewed: C8-M5-current expected gate covers whole-object request-local output; no C8-M5 delta	S4 published
C8M6-FIX-102	shape-binder-face-edge-vertex-multi-subshape	cad-core/fixtures/c8m1/expected/shape-binder-face-edge-vertex-multi-subshape.freecad.json	ShapeBinder face edge vertex multi-subshape support	Downstream preserves selected subshape compound and stable subname evidence	S4 reviewed: C8-M5-current expected gate covers Face Edge Vertex and multi-subshape compound; no C8-M5 delta	S4 published
C8M6-FIX-103	shape-binder-trace-support-placement	cad-core/fixtures/c8m1/expected/shape-binder-trace-support-placement.freecad.json	TraceSupport placement behavior	Downstream preserves source-to-target placement transform semantics	S4 reviewed: TraceSupport placement expected remains C8-M1 backed; no C8-M5 delta	S4 published
C8M6-FIX-104	shape-binder-datum-fallback-line-plane-point	cad-core/fixtures/c8m1/expected/shape-binder-datum-fallback-line-plane-point.freecad.json	Datum fallback line plane point	Downstream accepts datum fallback output and diagnostics boundary	S4 reviewed: App::Line App::Plane App::Point datum fallback expected remains current; no C8-M5 delta	S4 published
C8M6-FIX-105	shape-binder-subshape-binder-element-map-namedshape-body-replay	cad-core/fixtures/c8m1/expected/shape-binder-subshape-binder-element-map-namedshape-body-replay.freecad.json	ElementMap NamedShape Body replay	Downstream preserves request-local ElementMap NamedShape maker history and does not require BodyBaseFeature without input Body.BaseFeature	S4 reviewed: C8-M5 refreshed stale BodyBaseFeature expected; expected objects are Body Fusion ShapeBinder SubShapeBinder and no BodyBaseFeature appears without input Body.BaseFeature	S4 published
C8M6-FIX-106	subshape-binder-basic-support-whole-face-edge-list	cad-core/fixtures/c8m1/expected/subshape-binder-basic-support-whole-face-edge-list.freecad.json	SubShapeBinder whole face edge support	Downstream preserves selected support list output and stable subnames	S4 reviewed: whole face and edge-list Support expected remains current; no C8-M5 delta	S4 published
C8M6-FIX-107	subshape-binder-makeface-offset-fuse-refine	cad-core/fixtures/c8m1/expected/subshape-binder-makeface-offset-fuse-refine.freecad.json	MakeFace Offset2D Fuse Refine request-local subset	Downstream preserves supported request-local flags and output evidence	S4 reviewed: MakeFace Offset2D Fuse Refine request-local expected remains current; no C8-M5 delta	S4 published
C8M6-FIX-108	subshape-binder-setlinks-normalization-diagnostics	cad-core/fixtures/c8m1/expected/subshape-binder-setlinks-normalization-diagnostics.freecad.json	SetLinks normalization and cycle diagnostic	Downstream distinguishes setter-level cycle_rejected_by_property_link from generic cycle_dependency	S4 reviewed: C8-M5 code fix aligned current output to cycle_rejected_by_property_link while generic graph cycles remain cycle_dependency	S4 published
C8M6-FIX-109	subshape-binder-relative-context-nested-route	cad-core/fixtures/c8m1/expected/subshape-binder-relative-context-nested-route.freecad.json	Relative context nested App::Part route	Downstream preserves nested route and relative transform output	S4 reviewed: nested App::Part and Relative route expected remains current; no C8-M5 delta	S4 published
C8M6-FIX-110	subshape-binder-profile-consumer-before-after-pad	cad-core/fixtures/c8m1/expected/subshape-binder-profile-consumer-before-after-pad.freecad.json	Profile consumer before after Pad	Downstream preserves profile consumer references and Body replay evidence	S4 reviewed: profile consumer and Body replay expected remains current; no C8-M5 delta	S4 published
C8M6-FIX-111	subshape-binder-bindmode-synchronized-frozen-detached	cad-core/fixtures/c8m1/expected/subshape-binder-bindmode-synchronized-frozen-detached.freecad.json	BindMode Synchronized Frozen Detached request-local subset	Downstream preserves request-local documentObjectUpdates and diagnostics boundary without persistent frozen state	S4 reviewed: BindMode request-local writeback and frozen-without-persistent-shape boundary remain current; no C8-M5 delta	S4 published
C8M6-FIX-112	subshape-binder-copy-on-change-disabled-enabled-mutated-partialload	cad-core/fixtures/c8m1/expected/subshape-binder-copy-on-change-disabled-enabled-mutated-partialload.freecad.json	CopyOnChange Disabled Enabled Mutated PartialLoad boundary	Downstream preserves property-state and known_gap diagnostic without full temporary-document cache	S4 reviewed: fixture proves BindCopyOnChange and PartialLoad property-state plus known_gap diagnostic only; full temporary-document copied-object cache remains known_gap_retained	S4 published
