blocker_id	scope_id	blocker_axis	required_evidence	cad_core_landing	fixture_or_test_route	next_step	close_condition
MP-BLOCK-001	MP-SCOPE-002	ordinary_dispatch_and_reference_validation	FreeCAD makeMbdJoint and handleOneSideOfJoint evidence plus cad-core diagnostic path for missing moving part object or ReferenceN	cad-core/include/cad_core/assembly/joint_solver.h;cad-core/src/assembly/joint_solver.cpp	S3 marker evidence tests	S3 design resolver diagnostics	Closed when ordinary joint sides can fail with stable diagnostics without silently emitting connector-only marker placement
MP-BLOCK-002	MP-SCOPE-003	object_subshape_global_transform	FreeCAD obj_global_plc = getGlobalPlacement(nullptr, ref) and plc = obj_global_plc * plc evidence plus cad-core equivalent or diagnostic	cad-core/src/assembly/joint_solver.cpp;cad-core/src/assembly	S3 resolver smoke; S5 Vertex Edge Face parity	S3/S5 implement global transform lookup	Closed when subshape refs no longer use raw connectorPlacement as markerPlacement after object/global conversion
MP-BLOCK-003	MP-SCOPE-004	containing_part_local_transform_and_offset	FreeCAD part_global_plc.inverse() * plc and offsetPlc evidence plus cad-core moving-part-local marker model	cad-core/include/cad_core/assembly/joint_solver.h;cad-core/src/assembly/joint_solver.cpp	S3 resolver smoke; S5 object/subshape parity	S3/S5 implement part-local conversion	Closed when markerPlacement is expressed in moving part local coordinates and offsetPlc is implemented or explicitly diagnostic
MP-BLOCK-004	MP-SCOPE-005;MP-SCOPE-006;MP-SCOPE-007;MP-SCOPE-012	primitive_jcs_native_oracle_batch	Representative Vertex Edge Face fixtures and FreeCADCmd expected must be checked in and individually verified	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c3m6;cad-core/fixtures/c3m6/expected	collector per-fixture --check; CadCoreP8FeatureTest marker filters	S4 collect expected as one semantic batch	Closed when Vertex Edge Face expected files are checked in without unrelated c3m6 refresh
MP-BLOCK-005	MP-SCOPE-008;MP-SCOPE-009	mixed_swap_and_current_value_oracle	Mixed PointLine PointPlane LinePlane original and swapped order evidence plus getJointCurrentValue placement-derived scalar evidence where relevant	cad-core/tools/collect_freecad_expected.py;cad-core/fixtures/c3m6;cad-core/src/assembly/joint_solver.cpp	DistanceType mixed filters and expected --check	S4/S5 lock mixed oracle and DTO sync	Closed when mixed reference ordering keeps connector marker and solver DTO synchronized and current-value evidence is covered or explicitly out of case
MP-BLOCK-006	MP-SCOPE-011	focused_parity_implementation	cad-core placement_updates must match native expected for object Vertex Edge Face mixed representative cases through the real Ondsel marker path	cad-core/src/assembly/joint_solver.cpp;cad-core/tests/test_p8_features.py	CadCoreP8FeatureTest marker distance_type assembly filters	S5 implement and verify	Closed when focused parity passes without fixture-name branches output-end repair or connector-only shortcut
MP-BLOCK-007	MP-SCOPE-010	special_rewrite_regression	RackPinion marker rewrite Screw sliding-side swap Gears/Belt scalar marker routes must remain supported after resolver switch	cad-core/src/assembly/joint_solver.cpp;cad-core/tests/test_p8_features.py	Existing Screw RackPinion Gears Belt focused tests	S5 regression protection	Closed when existing special JointType focused tests pass after resolver switch and rack yaw evidence remains stable
MP-BLOCK-008	MP-SCOPE-013	capability_publication_sync	C ABI capabilities docs matrices and prior P8 packages must agree on the proven subshape marker placement supported subset	cad-core/src/adapters/c_api/c_api.cpp;cad-core/tests/test_adapters.py;docs/FreeCAD几何生态迁移工程-细分	CadCoreAdapterTest capabilities and docs grep	S6 publish	Closed when capability/docs list only object Vertex Edge Face mixed representative subset and no stale unsupported or overclaim remains
MP-BLOCK-009	MP-SCOPE-014	boundary_protection	Radius-bearing curve/default GUI/session persistent solver state and connector-only marker shortcut must stay out of this support claim	package matrices; capability docs; tests	TSV capability and docs assertions	S6 audit remaining boundaries	Closed when excluded axes remain nonGoal or future package only and are not published through adapter capabilities
MP-BLOCK-010	MP-SCOPE-002;MP-SCOPE-003;MP-SCOPE-004;MP-SCOPE-011	fallback_removal_audit	Implementation diff must show no fixture-name branches bbox heuristics output trimming or silent fallback from failed subshape resolver to connectorPlacement	cad-core/src/assembly/joint_solver.cpp;cad-core/tests/test_p8_features.py	rg audit plus focused tests	S5/S6 audit implementation before release	Closed when rg audit and code review find only FreeCAD-source-driven resolver logic or explicit diagnostics
