source_id	source_path	semantic_item	authority_type	evidence	cad_core_landing	next_step
C6M4-SRC-001	src/Mod/Part/App/PartFeatures.cpp::Sweep::execute	native Part::Sweep baseline	source authority	Reads Sections, Spine, Solid, Frenet, Transition and Linearize, calls result.makeElementPipeShell(..., Part::OpCodes::Sweep), and has no native SectionOptions or AuxiliarySpine/Tolerance properties	cad-core/src/part/part_sweep.cpp	S2-S6 must keep native DocumentObject baseline separate from wrapper product contract
C6M4-SRC-002	src/Mod/Part/App/TopoShapeExpansion.cpp::TopoShape::makeElementPipeShell	PipeShell maker history	source authority	Requires at least spine plus one profile, converts spine with makeElementWires, calls SetMode(isFrenet), SetTransitionMode, optional SetTolerance, Add(profile), Build, optional MakeSolid, then makeElementShape consumes BRepOffsetAPI_MakePipeShell history	cad-core/src/part/topo_shape_expansion.cpp	S3/S4 preserve maker history and avoid output/bbox/fixture-name fixups
C6M4-SRC-003	src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp::add	Located profile overload	wrapper authority	First overload calls Add(s, withContact, withCorrection); second overload requires TopoShapeVertexPy Location and calls Add(s, v, withContact, withCorrection); wrong arguments list both public signatures	cad-core/include/cad_core/part/topo_shape_expansion.h;cad-core/src/part/topo_shape_expansion.cpp	S2 freeze input/diagnostic contract; S3 implement product path or retain backendGap
C6M4-SRC-004	src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp::setAuxiliarySpine	Auxiliary spine wrapper	wrapper authority	Parses wire, CurvilinearEquivalence bool and TypeOfContact int, rejects non-wire spine, then calls SetMode(TopoDS::Wire(s), bool, contact)	cad-core/src/part/topo_shape_expansion.cpp	S4 consume only as combined dependency; auxiliary alone is not the Location blocker
C6M4-SRC-005	src/Mod/Part/App/BRepOffsetAPI_MakePipeShellPyImp.cpp::setTolerance	Tolerance wrapper	wrapper authority	Parses tol3d, boundTol and tolAngular with PyArg_ParseTuple("ddd") and calls SetTolerance(tol3d, boundTol, tolAngular)	cad-core/src/part/topo_shape_expansion.cpp	S4 combine with located profile after S3 closes or explicitly retains location path
C6M4-SRC-006	cad-core/src/part/part_sweep.cpp::executePartSweep	Sweep executor	cad-core authority	Allows advanced request fields, parses SectionOptions/AuxiliarySpine/Tolerance, reports invalid SectionOptions diagnostics, and currently publishes request metadata/known_gap before product shape publication for Location overload cases	cad-core/src/part/part_sweep.cpp	S3/S4 switch object status only after fixtures/tests prove non-parity product path
C6M4-SRC-007	cad-core/src/runtime/capability_contract.cpp::part_workbench.sweep	Capability contract	publication authority	Lists SectionOptions Location/WithContact/WithCorrection and advanced_combination as narrowed_gaps and keeps part_sweep_located_profile_freecadcmd_wrapper_build_blocker plus part_sweep_advanced_combined_freecadcmd_wrapper_build_blocker in remaining_gaps	cad-core/src/runtime/capability_contract.cpp	S5 update covered/fixtures/remaining_gaps only after release evidence
C6M4-SRC-008	cad-core/fixtures/c5m10/expected/part-sweep-located-profile-contract.freecad.json;cad-core/fixtures/c5m10/expected/part-sweep-advanced-combined-contract.freecad.json	Current known_gap oracle	fixture authority	Checked-in expected files record build-stage NCollection_Array1 blocker, no-location controls, delete conditions, and request_metadata_only known_gap behavior	cad-core/fixtures/c6m4;cad-core/tests/test_p8_features.py	S2 preserve guard; S5 add c6m4 product fixtures only if implemented
C6M4-SRC-009	src/Mod/Part/App/BRepOffsetAPI_MakePipeShell.pyi	Python wrapper public API shape	wrapper authority	Declares overloads for add(Profile, WithContact=False, WithCorrection=False) and add(Profile, Location, WithContact=False, WithCorrection=False), plus setAuxiliarySpine and setTolerance public signatures	docs;cad-core request contract	S2 use as public wrapper contract evidence, not as support claim
C6M4-SRC-010	cad-core/include/cad_core/part/topo_shape_expansion.h::PipeShellSectionOption;PipeShellOptions	PipeShell DTO slots	cad-core authority	PipeShellSectionOption carries TopoDS_Vertex location, hasLocation, withContact, withCorrection; PipeShellOptions carries sectionOptions, tolerance, auxiliary and mode fields	cad-core/include/cad_core/part/topo_shape_expansion.h	S3/S4 consume existing DTO boundary instead of inventing adapter-only fields
C6M4-SRC-011	cad-core/src/part/topo_shape_expansion.cpp::makeElementPipeShellFromSources	Low-level PipeShell builder	cad-core authority	Configures tolerance/mode/transition, then calls Add(profile, location, withContact, withCorrection) when section option hasLocation, otherwise Add(profile, contact, correction) or Add(profile); builds and records part_sweep:pipeshell_history	cad-core/src/part/topo_shape_expansion.cpp	S3/S4 keep implementation in part/topo_shape_expansion and preserve maker history
C6M4-SRC-012	cad-core/tests/test_p8_features.py::CadCoreP8FeatureTest	Focused known_gap guard	test authority	Focused guards assert SectionOptions metadata, build-stage OCCError NCollection_Array1, request_metadata_only status, no named_shapes, and invalid Location/WithContact/WithCorrection diagnostics	cad-core/tests/test_p8_features.py	S5 extend with c6m4 product/diagnostic assertions after S3/S4 decisions
